Sex,PA,Subzone,AG,Floor Area,Population,Time
Male,Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 100 - 120,70,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 120,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,Total*,120,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 60 - 80,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 80 - 100,30,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 100 - 120,70,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 120,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,Total*,110,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 60 - 80,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 80 - 100,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 100 - 120,80,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 120,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,Total*,60,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 60 - 80,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 80 - 100,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 100 - 120,40,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 120,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,Total*,50,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 60 - 80,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 80 - 100,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 100 - 120,30,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 120,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,Total*,20,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,> 80 - 100,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,> 100 - 120,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Total*,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,> 80 - 100,0,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,> 100 - 120,10,2022
Male,Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,> 120,0,2022
Male,Ang Mo Kio,Cheng San,0 - 4,Total*,490,2022
Male,Ang Mo Kio,Cheng San,0 - 4,? 60,30,2022
Male,Ang Mo Kio,Cheng San,0 - 4,> 60 - 80,140,2022
Male,Ang Mo Kio,Cheng San,0 - 4,> 80 - 100,220,2022
Male,Ang Mo Kio,Cheng San,0 - 4,> 100 - 120,90,2022
Male,Ang Mo Kio,Cheng San,0 - 4,> 120,10,2022
Male,Ang Mo Kio,Cheng San,15 - 19,Total*,570,2022
Male,Ang Mo Kio,Cheng San,15 - 19,? 60,30,2022
Male,Ang Mo Kio,Cheng San,15 - 19,> 60 - 80,200,2022
Male,Ang Mo Kio,Cheng San,15 - 19,> 80 - 100,220,2022
Male,Ang Mo Kio,Cheng San,15 - 19,> 100 - 120,100,2022
Male,Ang Mo Kio,Cheng San,15 - 19,> 120,30,2022
Male,Ang Mo Kio,Cheng San,20 - 24,Total*,690,2022
Male,Ang Mo Kio,Cheng San,20 - 24,? 60,40,2022
Male,Ang Mo Kio,Cheng San,20 - 24,> 60 - 80,260,2022
Male,Ang Mo Kio,Cheng San,20 - 24,> 80 - 100,250,2022
Male,Ang Mo Kio,Cheng San,20 - 24,> 100 - 120,120,2022
Male,Ang Mo Kio,Cheng San,20 - 24,> 120,20,2022
Male,Ang Mo Kio,Cheng San,25 - 29,Total*,790,2022
Male,Ang Mo Kio,Cheng San,25 - 29,? 60,30,2022
Male,Ang Mo Kio,Cheng San,25 - 29,> 60 - 80,290,2022
Male,Ang Mo Kio,Cheng San,25 - 29,> 80 - 100,310,2022
Male,Ang Mo Kio,Cheng San,25 - 29,> 100 - 120,120,2022
Male,Ang Mo Kio,Cheng San,25 - 29,> 120,40,2022
Male,Ang Mo Kio,Cheng San,30 - 34,Total*,970,2022
Male,Ang Mo Kio,Cheng San,30 - 34,? 60,40,2022
Male,Ang Mo Kio,Cheng San,30 - 34,> 60 - 80,330,2022
Male,Ang Mo Kio,Cheng San,30 - 34,> 80 - 100,440,2022
Male,Ang Mo Kio,Cheng San,30 - 34,> 100 - 120,130,2022
Male,Ang Mo Kio,Cheng San,30 - 34,> 120,20,2022
Male,Ang Mo Kio,Cheng San,35 - 39,Total*,870,2022
Male,Ang Mo Kio,Cheng San,35 - 39,? 60,20,2022
Male,Ang Mo Kio,Cheng San,35 - 39,> 60 - 80,290,2022
Male,Ang Mo Kio,Cheng San,35 - 39,> 80 - 100,440,2022
Male,Ang Mo Kio,Cheng San,35 - 39,> 100 - 120,110,2022
Male,Ang Mo Kio,Cheng San,35 - 39,> 120,20,2022
Male,Ang Mo Kio,Cheng San,40 - 44,Total*,970,2022
Male,Ang Mo Kio,Cheng San,40 - 44,? 60,20,2022
Male,Ang Mo Kio,Cheng San,40 - 44,> 60 - 80,350,2022
Male,Ang Mo Kio,Cheng San,40 - 44,> 80 - 100,400,2022
Male,Ang Mo Kio,Cheng San,40 - 44,> 100 - 120,180,2022
Male,Ang Mo Kio,Cheng San,40 - 44,> 120,20,2022
Male,Ang Mo Kio,Cheng San,45 - 49,Total*,930,2022
Male,Ang Mo Kio,Cheng San,45 - 49,? 60,20,2022
Male,Ang Mo Kio,Cheng San,45 - 49,> 60 - 80,350,2022
Male,Ang Mo Kio,Cheng San,45 - 49,> 80 - 100,370,2022
Male,Ang Mo Kio,Cheng San,45 - 49,> 100 - 120,170,2022
Male,Ang Mo Kio,Cheng San,45 - 49,> 120,20,2022
Male,Ang Mo Kio,Cheng San,50 - 54,Total*,"1,010",2022
Male,Ang Mo Kio,Cheng San,50 - 54,? 60,40,2022
Male,Ang Mo Kio,Cheng San,50 - 54,> 60 - 80,440,2022
Male,Ang Mo Kio,Cheng San,50 - 54,> 80 - 100,360,2022
Male,Ang Mo Kio,Cheng San,50 - 54,> 100 - 120,150,2022
Male,Ang Mo Kio,Cheng San,50 - 54,> 120,20,2022
Male,Ang Mo Kio,Cheng San,55 - 59,Total*,"1,030",2022
Male,Ang Mo Kio,Cheng San,55 - 59,? 60,20,2022
Male,Ang Mo Kio,Cheng San,55 - 59,> 60 - 80,450,2022
Male,Ang Mo Kio,Cheng San,55 - 59,> 80 - 100,390,2022
Male,Ang Mo Kio,Cheng San,55 - 59,> 100 - 120,130,2022
Male,Ang Mo Kio,Cheng San,55 - 59,> 120,30,2022
Male,Ang Mo Kio,Cheng San,60 - 64,Total*,990,2022
Male,Ang Mo Kio,Cheng San,60 - 64,? 60,50,2022
Male,Ang Mo Kio,Cheng San,60 - 64,> 60 - 80,430,2022
Male,Ang Mo Kio,Cheng San,60 - 64,> 80 - 100,370,2022
Male,Ang Mo Kio,Cheng San,60 - 64,> 100 - 120,120,2022
Male,Ang Mo Kio,Cheng San,60 - 64,> 120,20,2022
Male,Ang Mo Kio,Cheng San,65 - 69,Total*,920,2022
Male,Ang Mo Kio,Cheng San,65 - 69,? 60,60,2022
Male,Ang Mo Kio,Cheng San,65 - 69,> 60 - 80,340,2022
Male,Ang Mo Kio,Cheng San,65 - 69,> 80 - 100,390,2022
Male,Ang Mo Kio,Cheng San,65 - 69,> 100 - 120,90,2022
Male,Ang Mo Kio,Cheng San,65 - 69,> 120,30,2022
Male,Ang Mo Kio,Cheng San,70 - 74,Total*,860,2022
Male,Ang Mo Kio,Cheng San,70 - 74,? 60,30,2022
Male,Ang Mo Kio,Cheng San,70 - 74,> 60 - 80,340,2022
Male,Ang Mo Kio,Cheng San,70 - 74,> 80 - 100,350,2022
Male,Ang Mo Kio,Cheng San,70 - 74,> 100 - 120,110,2022
Male,Ang Mo Kio,Cheng San,70 - 74,> 120,30,2022
Male,Ang Mo Kio,Cheng San,75 - 79,Total*,510,2022
Male,Ang Mo Kio,Cheng San,75 - 79,? 60,20,2022
Male,Ang Mo Kio,Cheng San,75 - 79,> 60 - 80,210,2022
Male,Ang Mo Kio,Cheng San,75 - 79,> 80 - 100,200,2022
Male,Ang Mo Kio,Cheng San,75 - 79,> 100 - 120,60,2022
Male,Ang Mo Kio,Cheng San,75 - 79,> 120,10,2022
Male,Ang Mo Kio,Cheng San,80 - 84,Total*,290,2022
Male,Ang Mo Kio,Cheng San,80 - 84,? 60,10,2022
Male,Ang Mo Kio,Cheng San,80 - 84,> 60 - 80,130,2022
Male,Ang Mo Kio,Cheng San,80 - 84,> 80 - 100,120,2022
Male,Ang Mo Kio,Cheng San,80 - 84,> 100 - 120,30,2022
Male,Ang Mo Kio,Cheng San,80 - 84,> 120,10,2022
Male,Ang Mo Kio,Cheng San,85 - 89,Total*,150,2022
Male,Ang Mo Kio,Cheng San,85 - 89,? 60,10,2022
Male,Ang Mo Kio,Cheng San,85 - 89,> 60 - 80,60,2022
Male,Ang Mo Kio,Cheng San,85 - 89,> 80 - 100,70,2022
Male,Ang Mo Kio,Cheng San,85 - 89,> 100 - 120,20,2022
Male,Ang Mo Kio,Cheng San,85 - 89,> 120,0,2022
Male,Ang Mo Kio,Cheng San,90 & Over,Total*,50,2022
Male,Ang Mo Kio,Cheng San,90 & Over,? 60,0,2022
Male,Ang Mo Kio,Cheng San,90 & Over,> 60 - 80,20,2022
Male,Ang Mo Kio,Cheng San,90 & Over,> 80 - 100,30,2022
Male,Ang Mo Kio,Cheng San,90 & Over,> 100 - 120,0,2022
Male,Ang Mo Kio,Chong Boon,0 - 4,Total*,380,2022
Male,Ang Mo Kio,Chong Boon,0 - 4,? 60,40,2022
Male,Ang Mo Kio,Chong Boon,0 - 4,> 60 - 80,120,2022
Male,Ang Mo Kio,Chong Boon,0 - 4,> 80 - 100,170,2022
Male,Ang Mo Kio,Chong Boon,0 - 4,> 100 - 120,60,2022
Male,Ang Mo Kio,Chong Boon,0 - 4,> 120,0,2022
Male,Ang Mo Kio,Chong Boon,15 - 19,Total*,560,2022
Male,Ang Mo Kio,Chong Boon,15 - 19,? 60,30,2022
Male,Ang Mo Kio,Chong Boon,15 - 19,> 60 - 80,240,2022
Male,Ang Mo Kio,Chong Boon,15 - 19,> 80 - 100,190,2022
Male,Ang Mo Kio,Chong Boon,15 - 19,> 100 - 120,90,2022
Male,Ang Mo Kio,Chong Boon,15 - 19,> 120,10,2022
Male,Ang Mo Kio,Chong Boon,20 - 24,Total*,660,2022
Male,Ang Mo Kio,Chong Boon,20 - 24,? 60,60,2022
Male,Ang Mo Kio,Chong Boon,20 - 24,> 60 - 80,250,2022
Male,Ang Mo Kio,Chong Boon,20 - 24,> 80 - 100,240,2022
Male,Ang Mo Kio,Chong Boon,20 - 24,> 100 - 120,90,2022
Male,Ang Mo Kio,Chong Boon,20 - 24,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,25 - 29,Total*,760,2022
Male,Ang Mo Kio,Chong Boon,25 - 29,? 60,60,2022
Male,Ang Mo Kio,Chong Boon,25 - 29,> 60 - 80,240,2022
Male,Ang Mo Kio,Chong Boon,25 - 29,> 80 - 100,310,2022
Male,Ang Mo Kio,Chong Boon,25 - 29,> 100 - 120,120,2022
Male,Ang Mo Kio,Chong Boon,25 - 29,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,30 - 34,Total*,850,2022
Male,Ang Mo Kio,Chong Boon,30 - 34,? 60,40,2022
Male,Ang Mo Kio,Chong Boon,30 - 34,> 60 - 80,290,2022
Male,Ang Mo Kio,Chong Boon,30 - 34,> 80 - 100,370,2022
Male,Ang Mo Kio,Chong Boon,30 - 34,> 100 - 120,130,2022
Male,Ang Mo Kio,Chong Boon,30 - 34,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,35 - 39,Total*,760,2022
Male,Ang Mo Kio,Chong Boon,35 - 39,? 60,30,2022
Male,Ang Mo Kio,Chong Boon,35 - 39,> 60 - 80,240,2022
Male,Ang Mo Kio,Chong Boon,35 - 39,> 80 - 100,340,2022
Male,Ang Mo Kio,Chong Boon,35 - 39,> 100 - 120,120,2022
Male,Ang Mo Kio,Chong Boon,35 - 39,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,40 - 44,Total*,830,2022
Male,Ang Mo Kio,Chong Boon,40 - 44,? 60,40,2022
Male,Ang Mo Kio,Chong Boon,40 - 44,> 60 - 80,310,2022
Male,Ang Mo Kio,Chong Boon,40 - 44,> 80 - 100,340,2022
Male,Ang Mo Kio,Chong Boon,40 - 44,> 100 - 120,120,2022
Male,Ang Mo Kio,Chong Boon,40 - 44,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,45 - 49,Total*,870,2022
Male,Ang Mo Kio,Chong Boon,45 - 49,? 60,30,2022
Male,Ang Mo Kio,Chong Boon,45 - 49,> 60 - 80,350,2022
Male,Ang Mo Kio,Chong Boon,45 - 49,> 80 - 100,320,2022
Male,Ang Mo Kio,Chong Boon,45 - 49,> 100 - 120,130,2022
Male,Ang Mo Kio,Chong Boon,45 - 49,> 120,30,2022
Male,Ang Mo Kio,Chong Boon,50 - 54,Total*,800,2022
Male,Ang Mo Kio,Chong Boon,50 - 54,? 60,40,2022
Male,Ang Mo Kio,Chong Boon,50 - 54,> 60 - 80,330,2022
Male,Ang Mo Kio,Chong Boon,50 - 54,> 80 - 100,310,2022
Male,Ang Mo Kio,Chong Boon,50 - 54,> 100 - 120,100,2022
Male,Ang Mo Kio,Chong Boon,50 - 54,> 120,10,2022
Male,Ang Mo Kio,Chong Boon,55 - 59,Total*,"1,030",2022
Male,Ang Mo Kio,Chong Boon,55 - 59,? 60,90,2022
Male,Ang Mo Kio,Chong Boon,55 - 59,> 60 - 80,420,2022
Male,Ang Mo Kio,Chong Boon,55 - 59,> 80 - 100,390,2022
Male,Ang Mo Kio,Chong Boon,55 - 59,> 100 - 120,100,2022
Male,Ang Mo Kio,Chong Boon,55 - 59,> 120,10,2022
Male,Ang Mo Kio,Chong Boon,60 - 64,Total*,"1,030",2022
Male,Ang Mo Kio,Chong Boon,60 - 64,? 60,90,2022
Male,Ang Mo Kio,Chong Boon,60 - 64,> 60 - 80,440,2022
Male,Ang Mo Kio,Chong Boon,60 - 64,> 80 - 100,350,2022
Male,Ang Mo Kio,Chong Boon,60 - 64,> 100 - 120,100,2022
Male,Ang Mo Kio,Chong Boon,60 - 64,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,65 - 69,Total*,920,2022
Male,Ang Mo Kio,Chong Boon,65 - 69,? 60,80,2022
Male,Ang Mo Kio,Chong Boon,65 - 69,> 60 - 80,330,2022
Male,Ang Mo Kio,Chong Boon,65 - 69,> 80 - 100,350,2022
Male,Ang Mo Kio,Chong Boon,65 - 69,> 100 - 120,100,2022
Male,Ang Mo Kio,Chong Boon,65 - 69,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,70 - 74,Total*,870,2022
Male,Ang Mo Kio,Chong Boon,70 - 74,? 60,50,2022
Male,Ang Mo Kio,Chong Boon,70 - 74,> 60 - 80,330,2022
Male,Ang Mo Kio,Chong Boon,70 - 74,> 80 - 100,300,2022
Male,Ang Mo Kio,Chong Boon,70 - 74,> 100 - 120,130,2022
Male,Ang Mo Kio,Chong Boon,70 - 74,> 120,20,2022
Male,Ang Mo Kio,Chong Boon,75 - 79,Total*,550,2022
Male,Ang Mo Kio,Chong Boon,75 - 79,? 60,20,2022
Male,Ang Mo Kio,Chong Boon,75 - 79,> 60 - 80,210,2022
Male,Ang Mo Kio,Chong Boon,75 - 79,> 80 - 100,200,2022
Male,Ang Mo Kio,Chong Boon,75 - 79,> 100 - 120,60,2022
